                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.4396,                 1.6552,                 1.9333,                0.66703,                0.51701,                0.54437,                0.35821,                 1.2647,                 1.4253,                 1.6821,             0.00037033,             0.00037033,             0.00037033
                     79,                 1.4708,                 1.7092,                 1.9513,                0.65687,                0.53255,                0.54881,                0.34932,                  1.323,                 1.4587,                 1.7247,             0.00037014,             0.00037014,             0.00037014
                     80,                 1.4177,                 1.6222,                 1.8995,                0.67461,                0.52393,                0.57438,                0.36707,                  1.289,                 1.3494,                 1.6925,             0.00036994,             0.00036994,             0.00036994
                     81,                 1.4325,                  1.702,                 1.9351,                0.58295,                0.50532,                0.56008,                0.36398,                 1.2464,                 1.3444,                 1.6623,             0.00036975,             0.00036975,             0.00036975
                     82,                  1.395,                 1.5993,                 1.8826,                0.61407,                 0.5332,                0.56256,                0.37396,                 1.2276,                 1.3151,                 1.6355,             0.00036956,             0.00036956,             0.00036956
                     83,                 1.4161,                 1.6564,                 1.8918,                0.66566,                 0.5082,                0.56826,                 0.3705,                 1.2915,                 1.3412,                 1.6871,             0.00036937,             0.00036937,             0.00036937
                     84,                 1.4019,                 1.6167,                 1.9097,                 0.6689,                0.53073,                0.58849,                0.38106,                 1.2747,                 1.3085,                 1.7091,             0.00036918,             0.00036918,             0.00036918
                     85,                 1.4058,                 1.5935,                  1.886,                0.78155,                0.54465,                0.60747,                 0.4004,                 1.2597,                 1.2899,                 1.6908,             0.00036899,             0.00036899,             0.00036899
                     86,                 1.3757,                 1.5475,                 1.8897,                0.77068,                0.53614,                0.58782,                0.39617,                 1.2176,                 1.2925,                 1.6232,              0.0003688,              0.0003688,              0.0003688
                     87,                 1.4528,                 1.6557,                 1.9123,                0.74607,                0.52161,                  0.571,                0.36361,                 1.3252,                 1.3404,                 1.6911,             0.00036861,             0.00036861,             0.00036861
                     88,                 1.4106,                 1.5893,                  1.884,                 0.8049,                0.53986,                0.60532,                0.37972,                 1.3005,                  1.287,                 1.7454,             0.00036842,             0.00036842,             0.00036842
                     89,                 1.4013,                 1.5702,                 1.9009,                0.80264,                 0.5322,                 0.6056,                0.40649,                 1.2201,                   1.24,                 1.6431,             0.00036823,             0.00036823,             0.00036823
                     90,                 1.3774,                 1.5679,                 1.8836,                 0.7905,                0.53206,                0.61631,                0.41341,                 1.2322,                 1.2501,                 1.6627,             0.00036804,             0.00036804,             0.00036804
                     91,                 1.3905,                 1.5558,                 1.8893,                0.77793,                0.41315,                0.52518,                0.35253,                 1.2919,                 1.4617,                  1.703,             0.00036785,             0.00036785,             0.00036785
                     92,                 1.3299,                 1.5214,                  1.826,                0.76364,                0.53668,                0.60426,                0.41268,                 1.1904,                 1.2375,                 1.6236,             0.00036766,             0.00036766,             0.00036766
                     93,                 1.3042,                 1.4359,                 1.8206,                0.76059,                0.51499,                0.60277,                0.39503,                 1.2434,                  1.268,                 1.6667,             0.00036747,             0.00036747,             0.00036747
                     94,                 1.3869,                 1.5288,                 1.8653,                0.73822,                0.52959,                  0.573,                0.36818,                 1.3296,                 1.3892,                 1.7164,             0.00036728,             0.00036728,             0.00036728
                     95,                 1.3646,                 1.5035,                 1.8341,                0.70466,                 0.5474,                0.60023,                0.39737,                 1.2703,                 1.2306,                 1.6686,             0.00036709,             0.00036709,             0.00036709
                     96,                 1.3684,                 1.4597,                 1.8394,                0.80046,                0.54887,                0.58829,                0.39679,                  1.219,                 1.2325,                 1.6238,              0.0003669,              0.0003669,              0.0003669
                     97,                 1.3377,                  1.493,                 1.8104,                0.81204,                0.52903,                0.58665,                0.39873,                 1.1874,                 1.2996,                  1.616,              0.0003667,              0.0003667,              0.0003667
                     98,                 1.3541,                 1.4914,                  1.848,                0.70034,                0.56645,                0.60569,                0.39281,                 1.2392,                 1.2254,                 1.6448,             0.00036651,             0.00036651,             0.00036651
                     99,                 1.3193,                 1.4529,                 1.8051,                0.72718,                  0.544,                0.60882,                0.40005,                 1.2351,                 1.2517,                 1.6479,             0.00036632,             0.00036632,             0.00036632
                    100,                 1.3213,                 1.5261,                  1.849,                0.83043,                0.51178,                0.60389,                 0.3976,                 1.2538,                 1.2505,                 1.6296,             0.00036613,             0.00036613,             0.00036613
                    101,                 1.2946,                 1.4112,                 1.8003,                0.81822,                0.57312,                0.62329,                0.41185,                 1.2625,                 1.1366,                 1.6531,             0.00036594,             0.00036594,             0.00036594
                    102,                 1.3429,                 1.4731,                 1.7975,                0.72274,                0.59435,                 0.6473,                0.41316,                 1.2985,                 1.1834,                 1.6854,             0.00036575,             0.00036575,             0.00036575
                    103,                 1.3504,                 1.4869,                  1.812,                0.85573,                0.55176,                0.62382,                0.41423,                 1.2075,                 1.1158,                 1.6156,             0.00036556,             0.00036556,             0.00036556
                    104,                 1.3169,                  1.432,                 1.8094,                0.84951,                0.54961,                0.61273,                0.41625,                 1.1934,                 1.1189,                 1.5929,             0.00036537,             0.00036537,             0.00036537
                    105,                 1.3067,                 1.4057,                 1.8158,                0.87056,                0.54913,                0.61558,                0.40404,                 1.2271,                 1.0817,                 1.5955,             0.00036518,             0.00036518,             0.00036518
                    106,                 1.3473,                 1.5143,                 1.8116,                0.84965,                0.54993,                0.62534,                0.41777,                 1.2166,                 1.1108,                 1.6105,             0.00036499,             0.00036499,             0.00036499
                    107,                 1.3106,                 1.4299,                 1.8117,                 0.8666,                0.55229,                0.62014,                0.40999,                 1.2127,                 1.0493,                 1.6286,              0.0003648,              0.0003648,              0.0003648
                    108,                 1.3397,                 1.4441,                 1.7975,                 0.8262,                0.58008,                0.63498,                 0.4254,                 1.1997,                 1.1049,                  1.589,             0.00036461,             0.00036461,             0.00036461
                    109,                 1.3256,                 1.4729,                 1.8075,                0.78771,                0.58734,                 0.6223,                0.42464,                 1.1662,                 1.1111,                 1.5549,             0.00036442,             0.00036442,             0.00036442
                    110,                 1.3416,                 1.4726,                 1.8061,                0.84032,                0.56458,                0.62122,                0.39648,                 1.2608,                 1.1341,                 1.6343,             0.00036423,             0.00036423,             0.00036423
                    111,                 1.3139,                 1.3672,                 1.7693,                0.83004,                0.55779,                0.61373,                0.42412,                 1.1375,                 1.0714,                 1.5465,             0.00036404,             0.00036404,             0.00036404
