                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.6699,                 2.1117,                 2.2588,                0.55223,                 0.3794,                0.39998,                0.24202,                 1.4605,                 1.9134,                   1.93,             0.00016393,             0.00016393,             0.00016393
                     60,                 1.6806,                 2.1428,                 2.2165,                0.57095,                0.46302,                0.42286,                0.25666,                  1.409,                 1.8957,                 1.8906,             0.00016012,             0.00016012,             0.00016012
                     61,                 1.6002,                 1.9977,                 2.1944,                0.62941,                0.44683,                0.42314,                0.26139,                 1.4128,                 1.8799,                 1.8815,             0.00015631,             0.00015631,             0.00015631
                     62,                 1.6624,                 2.0568,                 2.2063,                 0.5805,                0.39897,                0.39697,                0.24206,                 1.4715,                 1.9379,                 1.9132,              0.0001525,              0.0001525,              0.0001525
                     63,                 1.6429,                 2.0571,                 2.1855,                0.57239,                0.40656,                0.41129,                0.25214,                 1.4475,                 1.9125,                 1.9061,             0.00014869,             0.00014869,             0.00014869
                     64,                  1.631,                 2.0289,                 2.1448,                0.58538,                0.41559,                0.41321,                0.25304,                 1.4445,                 1.9321,                 1.9262,             0.00014488,             0.00014488,             0.00014488
                     65,                 1.6466,                 2.0474,                 2.1877,                0.60063,                0.42691,                0.43426,                 0.2563,                 1.4928,                  1.886,                 1.9501,             0.00014106,             0.00014106,             0.00014106
                     66,                 1.6386,                 2.0557,                 2.1964,                 0.6546,                0.43787,                0.45132,                0.28078,                 1.4475,                 1.7911,                 1.8839,             0.00013725,             0.00013725,             0.00013725
                     67,                 1.6035,                 2.0366,                  2.206,                0.63346,                0.44814,                0.43912,                0.27643,                 1.4012,                  1.754,                 1.8395,             0.00013344,             0.00013344,             0.00013344
                     68,                 1.5902,                 1.9829,                 2.1246,                0.62229,                0.44945,                 0.4432,                0.28661,                 1.3186,                 1.7031,                 1.7886,             0.00012963,             0.00012963,             0.00012963
